length,gravy,aliphatic_index,aromaticity_index,instability_index,net_charge_pH7,frac_pos,frac_neg,frac_charged,frac_polar,frac_hydrophobic,frac_aromatic,frac_turn,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,Calculated MW (kDa),Calculated pI
310,0.024193548387096763,92.58064516129032,0.07096774193548387,,-5.782445490125612,0.1064516129032258,0.10967741935483871,0.2161290322580645,0.22258064516129034,0.44838709677419347,0.07096774193548387,0.23225806451612901,0.11935483870967742,0.02903225806451613,0.041935483870967745,0.06774193548387097,0.03225806451612903,0.08709677419354839,0.01935483870967742,0.05161290322580645,0.03225806451612903,0.1,0.03225806451612903,0.03870967741935484,0.05161290322580645,0.04516129032258064,0.054838709677419356,0.054838709677419356,0.02903225806451613,0.07419354838709677,0.012903225806451613,0.025806451612903226,33.6,6.2
428,-0.09672897196261689,93.97196261682241,0.08411214953271028,,-11.641924828802145,0.11448598130841121,0.12383177570093457,0.2383177570093458,0.2219626168224299,0.4415887850467289,0.08411214953271028,0.20794392523364486,0.10981308411214953,0.009345794392523364,0.056074766355140186,0.06775700934579439,0.056074766355140186,0.06542056074766354,0.02336448598130841,0.0397196261682243,0.0514018691588785,0.1261682242990654,0.018691588785046728,0.04439252336448598,0.053738317757009345,0.04906542056074766,0.0397196261682243,0.04439252336448598,0.053738317757009345,0.0630841121495327,0.007009345794392523,0.02102803738317757,47.056,5.71
98,-0.9969387755102046,61.73469387755102,0.09183673469387754,,10.125583636018176,0.2755102040816326,0.07142857142857142,0.3469387755102041,0.13265306122448978,0.3469387755102041,0.09183673469387754,0.25510204081632654,0.07142857142857142,0.0,0.05102040816326531,0.02040816326530612,0.0,0.11224489795918367,0.1326530612244898,0.030612244897959183,0.07142857142857142,0.07142857142857142,0.030612244897959183,0.02040816326530612,0.09183673469387756,0.04081632653061224,0.07142857142857142,0.030612244897959183,0.01020408163265306,0.05102040816326531,0.061224489795918366,0.030612244897959183,11.4,10.9
258,-0.4027131782945738,87.79069767441861,0.10852713178294573,,0.7596235009195538,0.13953488372093023,0.12790697674418605,0.2674418604651163,0.251937984496124,0.4186046511627907,0.10852713178294573,0.20930232558139536,0.07364341085271318,0.0,0.06589147286821706,0.06201550387596899,0.06201550387596899,0.05426356589147287,0.011627906976744186,0.06589147286821706,0.06976744186046512,0.12015503875968993,0.023255813953488372,0.050387596899224806,0.046511627906976744,0.05426356589147287,0.05813953488372093,0.05813953488372093,0.050387596899224806,0.027131782945736434,0.007751937984496124,0.03875968992248062,29.555,8.74
317,-0.20977917981072555,99.52681388012618,0.07255520504731862,,-7.549309199982237,0.12618296529968454,0.1451104100946372,0.27129337539432175,0.2334384858044164,0.4479495268138801,0.07255520504731862,0.17034700315457413,0.12302839116719243,0.00946372239747634,0.06624605678233439,0.07886435331230283,0.022082018927444796,0.05362776025236593,0.006309148264984227,0.08201892744479496,0.0694006309148265,0.10410094637223975,0.015772870662460567,0.03470031545741325,0.031545741324921134,0.0473186119873817,0.050473186119873815,0.050473186119873815,0.05362776025236593,0.050473186119873815,0.012618296529968454,0.03785488958990536,35.2,5.8
195,-0.013333333333333313,100.97435897435898,0.046153846153846156,,-7.327027177132773,0.1076923076923077,0.13333333333333333,0.24102564102564103,0.22564102564102564,0.4102564102564102,0.046153846153846156,0.21538461538461537,0.08205128205128205,0.015384615384615385,0.046153846153846156,0.08717948717948718,0.02564102564102564,0.07179487179487179,0.015384615384615385,0.06666666666666667,0.03076923076923077,0.10256410256410256,0.020512820512820513,0.015384615384615385,0.06666666666666667,0.046153846153846156,0.06153846153846154,0.06153846153846154,0.07179487179487179,0.09230769230769231,0.005128205128205128,0.015384615384615385,21.2,5.8
161,0.07080745341614907,75.1552795031056,0.08074534161490683,,10.515273804388396,0.10559006211180125,0.037267080745341616,0.14285714285714285,0.4658385093167702,0.3354037267080746,0.08074534161490683,0.3726708074534162,0.055900621118012424,0.09937888198757763,0.018633540372670808,0.018633540372670808,0.062111801242236024,0.012422360248447204,0.0,0.049689440993788817,0.024844720496894408,0.10559006211180125,0.012422360248447204,0.07453416149068323,0.049689440993788817,0.018633540372670808,0.08074534161490683,0.2360248447204969,0.031055900621118012,0.031055900621118012,0.012422360248447204,0.006211180124223602,17.6,8.6
134,-0.08582089552238793,95.44776119402985,0.03731343283582089,,1.6093118509712494,0.12686567164179105,0.09701492537313432,0.22388059701492535,0.32089552238805963,0.39552238805970147,0.03731343283582089,0.25373134328358204,0.09701492537313433,0.029850746268656716,0.07462686567164178,0.022388059701492536,0.022388059701492536,0.04477611940298507,0.022388059701492536,0.08955223880597014,0.06716417910447761,0.09701492537313433,0.029850746268656716,0.06716417910447761,0.022388059701492536,0.03731343283582089,0.03731343283582089,0.11940298507462686,0.05970149253731343,0.04477611940298507,0.007462686567164179,0.007462686567164179,14.5,8.2
638,-0.4086206896551723,88.57366771159874,0.03605015673981191,,-27.953763082905912,0.13009404388714735,0.16457680250783702,0.29467084639498436,0.21943573667711597,0.38714733542319757,0.03605015673981191,0.1896551724137931,0.109717868338558,0.001567398119122257,0.08620689655172414,0.07836990595611286,0.023510971786833857,0.07366771159874608,0.012539184952978056,0.06896551724137931,0.07836990595611286,0.07523510971786834,0.023510971786833857,0.04075235109717868,0.03605015673981191,0.05799373040752351,0.03918495297805643,0.03918495297805643,0.06896551724137931,0.07366771159874608,0.001567398119122257,0.0109717868338558,69.0,4.8
376,-0.6343085106382981,63.80319148936171,0.07180851063829788,,4.172874637480024,0.1675531914893617,0.1356382978723404,0.30319148936170215,0.2154255319148936,0.324468085106383,0.07180851063829788,0.23670212765957446,0.07180851063829788,0.026595744680851064,0.05319148936170213,0.08244680851063829,0.04521276595744681,0.14095744680851063,0.026595744680851064,0.034574468085106384,0.06914893617021277,0.061170212765957445,0.018617021276595744,0.02127659574468085,0.0425531914893617,0.061170212765957445,0.07180851063829788,0.031914893617021274,0.047872340425531915,0.06648936170212766,0.0,0.026595744680851064,41.1,7.9
